58	486
553	1053	248.684210526
559	1072	71.0526315789
553	1034	272.368421053
536	1042	153.947368421
561	1017	296.052631579
552	1034	118.421052632
580	1011	343.421052632
597	1002	331.578947368
616	996	343.421052632
633	987	331.578947368
652	981	343.421052632
669	972	331.578947368
688	966	343.421052632
707	960	343.421052632
724	951	331.578947368
743	945	343.421052632
762	939	343.421052632
781	933	343.421052632
800	927	343.421052632
819	921	343.421052632
819	902	272.368421053
819	883	272.368421053
817	864	260.526315789
817	845	272.368421053
817	826	272.368421053
815	807	260.526315789
815	788	272.368421053
815	769	272.368421053
815	750	272.368421053
815	731	272.368421053
805	714	236.842105263
799	696	248.684210526
786	682	225.0
766	682	177.631578947
749	690	153.947368421
732	698	153.947368421
717	710	142.105263158
704	725	130.263157895
689	737	142.105263158
672	745	153.947368421
653	750	165.789473684
638	762	142.105263158
634	746	189.473684211
615	742	189.473684211
602	728	225.0
586	717	213.157894737
576	700	236.842105263
570	682	248.684210526
564	664	248.684210526
564	645	272.368421053
564	626	272.368421053
562	607	260.526315789
562	588	272.368421053
562	569	272.368421053
567	550	284.210526316
572	531	284.210526316
577	512	284.210526316
585	495	296.052631579
593	478	296.052631579
610	469	331.578947368
625	456	319.736842105
644	450	343.421052632
663	444	343.421052632
683	444	0.0
698	456	35.5263157895
715	464	23.6842105263
728	479	47.3684210526
743	491	35.5263157895
756	506	47.3684210526
771	518	35.5263157895
788	526	23.6842105263
807	520	343.421052632
822	507	319.736842105
830	490	296.052631579
835	471	284.210526316
842	475	307.894736842
843	494	82.8947368421
836	457	248.684210526
841	438	284.210526316
841	419	272.368421053
835	401	248.684210526
840	382	284.210526316
834	364	248.684210526
834	345	272.368421053
834	326	272.368421053
815	322	189.473684211
795	322	177.631578947
775	322	177.631578947
755	322	177.631578947
735	322	177.631578947
716	318	189.473684211
696	318	177.631578947
676	318	177.631578947
656	318	177.631578947
637	314	189.473684211
617	314	177.631578947
598	310	189.473684211
580	302	201.315789474
567	288	225.0
567	269	272.368421053
575	252	296.052631579
590	239	319.736842105
598	222	296.052631579
613	209	319.736842105
621	192	296.052631579
633	177	307.894736842
633	158	272.368421053
631	139	260.526315789
625	121	248.684210526
612	107	225.0
599	93	225.0
581	85	201.315789474
563	77	201.315789474
545	69	201.315789474
525	69	177.631578947
506	65	189.473684211
487	70	165.789473684
467	70	177.631578947
448	75	165.789473684
431	83	153.947368421
416	95	142.105263158
403	110	130.263157895
390	125	130.263157895
384	144	106.578947368
383	163	94.7368421053
374	180	118.421052632
391	188	23.6842105263
404	203	47.3684210526
373	180	201.315789474
392	185	11.8421052632
398	204	71.0526315789
373	181	189.473684211
392	186	11.8421052632
401	203	59.2105263158
373	182	189.473684211
392	187	11.8421052632
405	202	47.3684210526
374	179	201.315789474
391	187	23.6842105263
404	202	47.3684210526
373	179	201.315789474
392	184	11.8421052632
398	203	71.0526315789
373	180	189.473684211
392	185	11.8421052632
398	204	71.0526315789
373	181	189.473684211
392	186	11.8421052632
401	203	59.2105263158
373	182	189.473684211
392	187	11.8421052632
405	202	47.3684210526
374	179	201.315789474
391	187	23.6842105263
404	202	47.3684210526
373	179	201.315789474
392	184	11.8421052632
398	203	71.0526315789
373	180	189.473684211
392	185	11.8421052632
398	204	71.0526315789
373	181	189.473684211
392	186	11.8421052632
401	203	59.2105263158
373	182	189.473684211
392	187	11.8421052632
405	202	47.3684210526
374	179	201.315789474
391	187	23.6842105263
404	202	47.3684210526
373	179	201.315789474
392	184	11.8421052632
398	203	71.0526315789
373	180	189.473684211
392	185	11.8421052632
398	204	71.0526315789
373	181	189.473684211
392	186	11.8421052632
401	203	59.2105263158
373	182	189.473684211
392	187	11.8421052632
405	202	47.3684210526
374	179	201.315789474
